Email,First_name,Last_name,Course_id,Grades,Marks
sofia.patel@sjsu.edu,Sofia,Patel,BUS210,C,59
andrea.kennedy@sjsu.edu,Andrea,Kennedy,MATH201,B,77
carmen.singh@sjsu.edu,Carmen,Singh,CS350,C,55
jake.bryant@sjsu.edu,Jake,Bryant,BUS320,A,89
tiffany.richardson@sjsu.edu,Tiffany,Richardson,BUS210,A,94
jamie.pierce@sjsu.edu,Jamie,Pierce,CS350,A,91
aiden.spencer@sjsu.edu,Aiden,Spencer,MATH250,A,87
charlotte.turner@sjsu.edu,Charlotte,Turner,BUS320,B,71
dillon.mcdonald@sjsu.edu,Dillon,McDonald,CS201,B,75
kaitlyn.boyd@sjsu.edu,Kaitlyn,Boyd,CS201,B,80
miranda.ahmed@sjsu.edu,Miranda,Ahmed,MATH101,B,78
erica.gardner@sjsu.edu,Erica,Gardner,ENG210,C,55
cynthia.walsh@sjsu.edu,Cynthia,Walsh,BUS101,C,62
rosa.kennedy@sjsu.edu,Rosa,Kennedy,MATH310,D,45
jordan.reed@sjsu.edu,Jordan,Reed,CS450,B,75
molly.ortiz@sjsu.edu,Molly,Ortiz,BUS320,C,66
julian.james@sjsu.edu,Julian,James,CS480,C,67
crystal.morgan@sjsu.edu,Crystal,Morgan,BUS401,C,65
dominic.sanders@sjsu.edu,Dominic,Sanders,CS350,C,68
crystal.collins@sjsu.edu,Crystal,Collins,MATH310,C,59
sarah.perez@sjsu.edu,Sarah,Perez,PSY101,C,61
juliana.graham@sjsu.edu,Juliana,Graham,MATH250,C,60
chanel.cooper@sjsu.edu,Chanel,Cooper,BUS210,A,100
claire.gomez@sjsu.edu,Claire,Gomez,SCI205,D,48
charles.barnes@sjsu.edu,Charles,Barnes,BUS401,B,82
chad.baker@sjsu.edu,Chad,Baker,CS201,B,77
abby.gordon@sjsu.edu,Abby,Gordon,BUS401,C,68
sean.aguilar@sjsu.edu,Sean,Aguilar,BUS320,C,57
jennifer.pierce@sjsu.edu,Jennifer,Pierce,SCI101,C,66
catherine.owens@sjsu.edu,Catherine,Owens,BUS320,A,93
chelsea.davis@sjsu.edu,Chelsea,Davis,ENG101,C,65
christopher.perry@sjsu.edu,Christopher,Perry,ENG210,B,81
eric.jones@sjsu.edu,Eric,Jones,BUS401,B,81
ian.zimmerman@sjsu.edu,Ian,Zimmerman,ENG101,C,68
evelyn.scott@sjsu.edu,Evelyn,Scott,CS201,D,52
isaiah.wilson@sjsu.edu,Isaiah,Wilson,CS480,A,89
elizabeth.grant@sjsu.edu,Elizabeth,Grant,BUS101,B,80
jennifer.maxwell@sjsu.edu,Jennifer,Maxwell,CS350,D,52
andre.edwards@sjsu.edu,Andre,Edwards,CS101,B,83
hayley.evans@sjsu.edu,Hayley,Evans,CS301,B,71
fatima.pierce@sjsu.edu,Fatima,Pierce,CS410,D,54
nicole.walsh@sjsu.edu,Nicole,Walsh,PSY101,B,83
kate.lewis@sjsu.edu,Kate,Lewis,BUS320,C,57
carlos.thomas@sjsu.edu,Carlos,Thomas,MATH250,C,64
steven.mcdonald@sjsu.edu,Steven,McDonald,BUS210,C,62
miles.bryant@sjsu.edu,Miles,Bryant,BUS210,A,98
mike.taylor@sjsu.edu,Mike,Taylor,MATH201,C,69
jeff.richardson@sjsu.edu,Jeff,Richardson,BUS210,D,53
kevin.martinez@sjsu.edu,Kevin,Martinez,CS480,A,89
fernando.cox@sjsu.edu,Fernando,Cox,MATH101,D,46
aiden.martin@sjsu.edu,Aiden,Martin,CS450,C,66
arjun.ryan@sjsu.edu,Arjun,Ryan,BUS101,C,67
leslie.adams@sjsu.edu,Leslie,Adams,CS301,C,64
jasmine.stephens@sjsu.edu,Jasmine,Stephens,SCI205,C,57
jack.sutton@sjsu.edu,Jack,Sutton,CS101,C,62
dean.stewart@sjsu.edu,Dean,Stewart,MATH310,C,69
andrea.walsh@sjsu.edu,Andrea,Walsh,CS201,C,67
megan.moore@sjsu.edu,Megan,Moore,MATH310,D,52
katherine.peterson@sjsu.edu,Katherine,Peterson,MATH101,B,79
monica.green@sjsu.edu,Monica,Green,CS101,C,60
molly.mendoza@sjsu.edu,Molly,Mendoza,ENG210,A,98
ali.warren@sjsu.edu,Ali,Warren,ENG210,B,84
ayasha.nguyen@sjsu.edu,Ayasha,Nguyen,CS301,B,70
michael.hill@sjsu.edu,Michael,Hill,MATH310,C,59
holly.lewis@sjsu.edu,Holly,Lewis,CS350,C,62
cynthia.little@sjsu.edu,Cynthia,Little,MATH250,B,83
daniela.thompson@sjsu.edu,Daniela,Thompson,MATH310,C,66
claudia.porter@sjsu.edu,Claudia,Porter,CS450,D,51
hunter.taylor@sjsu.edu,Hunter,Taylor,CS101,D,48
daisy.edwards@sjsu.edu,Daisy,Edwards,CS101,A,91
thomas.nelson@sjsu.edu,Thomas,Nelson,CS201,C,64
zachary.nguyen@sjsu.edu,Zachary,Nguyen,BUS101,C,57
chanel.dixon@sjsu.edu,Chanel,Dixon,ENG101,B,78
timothy.bailey@sjsu.edu,Timothy,Bailey,CS480,B,82
karen.nichols@sjsu.edu,Karen,Nichols,SCI101,B,75
kaitlyn.thomas@sjsu.edu,Kaitlyn,Thomas,PSY101,C,69
ali.fisher@sjsu.edu,Ali,Fisher,CS350,C,58
caroline.gomez@sjsu.edu,Caroline,Gomez,CS450,C,60
reina.burns@sjsu.edu,Reina,Burns,CS480,A,100
shelby.cook@sjsu.edu,Shelby,Cook,MATH101,B,70
sharon.lewis@sjsu.edu,Sharon,Lewis,MATH310,B,84
miles.mccarthy@sjsu.edu,Miles,McCarthy,ENG210,A,87
omar.cruz@sjsu.edu,Omar,Cruz,CS410,A,98
jacob.murphy@sjsu.edu,Jacob,Murphy,SCI205,A,97
charlotte.arnold@sjsu.edu,Charlotte,Arnold,CS201,C,60
hailey.spencer@sjsu.edu,Hailey,Spencer,CS301,C,60
yasmine.wells@sjsu.edu,Yasmine,Wells,MATH101,B,75
lauren.williams@sjsu.edu,Lauren,Williams,CS450,A,100
